event,predicted,smooth,lower,upper
Live discharge,0.40100134523302733,0.32378309937072747,0.2767110229175653,0.3703043879096019
Live discharge,0.41125600410593877,0.33201221972975764,0.28462347056579457,0.3787709922788986
Live discharge,0.4215106629788502,0.34034899715181527,0.29298815337001277,0.38788563785871516
Live discharge,0.43176532185176164,0.3487997694322354,0.3007391790988292,0.3960162742218608
Live discharge,0.4420199807246731,0.3573693701703048,0.30935500989224907,0.4055446361543186
Live discharge,0.4522746395975845,0.36606064137804756,0.3176385952504677,0.4158481232524993
Live discharge,0.46252929847049595,0.3748747684475831,0.32599803234615216,0.424555124239068
Live discharge,0.47278395734340734,0.3838124421687701,0.334468237559843,0.43397052959173255
Live discharge,0.4830386162163188,0.3928757269668139,0.3423078834692832,0.4443278311914225
Live discharge,0.4932932750892302,0.4020704076394095,0.3504574628712397,0.4546883164896906
Live discharge,0.5035479339621416,0.411408517274855,0.35845438022478626,0.46517827241822757
Live discharge,0.5138025928350531,0.4209107219482723,0.3669880340832315,0.47453448189096303
Live discharge,0.5240572517079645,0.4306082452590755,0.37689940665939425,0.48444396006269663
Live discharge,0.5343119105808759,0.4405440424074726,0.38774430043947616,0.4949943024069713
Live discharge,0.5445665694537873,0.4507729645840303,0.3968804702093672,0.5052136531389563
Live discharge,0.5548212283266988,0.4613606828426822,0.40578174834351505,0.5163268228695561
Live discharge,0.5650758871996102,0.4723811706740037,0.41533119279477865,0.5281692613049098
Live discharge,0.5753305460725215,0.4839125923915623,0.4265953309110695,0.5399521548296253
Live discharge,0.5855852049454331,0.49603153564334196,0.43781603630048227,0.5530444370796446
Live discharge,0.5958398638183444,0.5088056898956649,0.44857196261026583,0.5664091151331294
Live discharge,0.606094522691256,0.5222853315327906,0.46254607309388684,0.5804309156453072
Live discharge,0.6163491815641673,0.5364943321655011,0.47639104515689784,0.5959369848691104
Live discharge,0.6266038404370788,0.5514218211678082,0.49178851916559213,0.6103337974519879
Live discharge,0.6368584993099902,0.56701600866462,0.5083396930523305,0.6256379377904356
Live discharge,0.6471131581829016,0.5831818507535647,0.5242203072512676,0.6419375895703524
Live discharge,0.657367817055813,0.5997840223909066,0.5411834846768719,0.6577219366995901
Live discharge,0.6676224759287244,0.6166559108592913,0.5585411533405998,0.6745776973804417
Live discharge,0.6778771348016359,0.6336140737194794,0.576866987284062,0.6905492363115875
Live discharge,0.6881317936745472,0.6504760962950963,0.597104310818484,0.7053287595734645
Live discharge,0.6983864525474588,0.6670785488140499,0.6146101360394569,0.7208160902560443
Live discharge,0.7086411114203701,0.6832913439146782,0.6322769523215488,0.7357233831575107
Live discharge,0.7188957702932817,0.6990255410606602,0.6488336295632245,0.7489240084772123
Live discharge,0.729150429166193,0.7142333656054511,0.6657867070462687,0.7635942923519129
Live discharge,0.7394050880391045,0.7289012855416294,0.6817502988378297,0.7777361044824879
Live discharge,0.7496597469120159,0.7430386478139018,0.6966576751609154,0.7899033645052793
Live discharge,0.7599144057849274,0.756665083797446,0.7107087022748382,0.801020814142018
Live discharge,0.7701690646578387,0.7697995707614319,0.7252412461726719,0.812616022989096
Live discharge,0.7804237235307501,0.7824530053437388,0.7395630231853776,0.8222609652440778
Live discharge,0.7906783824036616,0.7946248955694661,0.7537531404047134,0.8330633062982349
Live discharge,0.8009330412765729,0.8063037260454933,0.7669406072986679,0.843286414275955
Live discharge,0.8111877001494845,0.817469914905099,0.7795427895994883,0.8525946226131426
Live discharge,0.8214423590223958,0.8281000822308509,0.7918422710627102,0.8612875566513688
Live discharge,0.8316970178953074,0.8381714841372441,0.8035887559690833,0.869438233476583
Live discharge,0.8419516767682187,0.8476657865157771,0.8146220817661671,0.8776598049646854
Live discharge,0.8522063356411302,0.8565717232139083,0.8257326200258692,0.8854940544134914
Live discharge,0.8624609945140416,0.8648865116148629,0.8354419768965253,0.8926067332835224
Live discharge,0.8727156533869531,0.8726161361582193,0.8444158347602367,0.8994663943321173
Live discharge,0.8829703122598644,0.8797747465131633,0.8529352215478889,0.9059080219246098
Live discharge,0.8932249711327758,0.8863834653725929,0.860009842368499,0.9114430492016516
Live discharge,0.9034796300056873,0.8924688861769899,0.8670566650877541,0.9171401090426541
Live discharge,0.9137342888785986,0.8980614901951286,0.8741782825665574,0.9217439787008979
Live discharge,0.9239889477515102,0.9031941476600372,0.8797059579649816,0.9259216737452839
Live discharge,0.9342436066244215,0.9079008046314275,0.884893660796396,0.9300130826382187
Live discharge,0.9444982654973331,0.9122154046553111,0.8896407581218064,0.9337082729609303
Live discharge,0.9547529243702444,0.9161710554159401,0.8937704100458316,0.9369020302609872
Live discharge,0.9650075832431559,0.9197994251323193,0.897196760312036,0.9401866750495992
Live discharge,0.9752622421160674,0.9231303392389915,0.9013015730604094,0.9430862567049
In-hospital death,0.018124142712517402,0.049563512587914624,0.035260626654870335,0.06473083989753081
In-hospital death,0.02746382898172011,0.052830725173723184,0.03814162247126379,0.06851478139504
In-hospital death,0.03680351525092282,0.056465854671713694,0.04129132383552508,0.07268769017105649
In-hospital death,0.04614320152012552,0.06051140296335543,0.0449810650173554,0.07717527967684096
In-hospital death,0.05548288778932823,0.06501244179832996,0.04908865673264601,0.08225858707675231
In-hospital death,0.06482257405853094,0.07001579791141051,0.053448974514672586,0.08791266759710009
In-hospital death,0.07416226032773364,0.07556883391888336,0.058361515878049997,0.09432601403357715
In-hospital death,0.08350194659693636,0.08171775229497805,0.06362567503181833,0.10120400931602296
In-hospital death,0.09284163286613906,0.08850537159853503,0.06944477994953219,0.10872525305694226
In-hospital death,0.10218131913534176,0.09596836783593908,0.07602821827238279,0.11677977988998117
In-hospital death,0.11152100540454447,0.10413404435603328,0.08372357978156968,0.12588768700737743
In-hospital death,0.12086069167374718,0.11301679188648667,0.0916808354015395,0.13593854028292257
In-hospital death,0.13020037794294986,0.12261451943551724,0.0999582501900729,0.14651487442170136
In-hospital death,0.1395400642121526,0.13290545875730436,0.1095020840943805,0.15774386920915148
In-hospital death,0.14887975048135532,0.1438458393065065,0.11921678639090763,0.17025161071028191
In-hospital death,0.158219436750558,0.15536895748025184,0.12956886576633178,0.18212417863281707
In-hospital death,0.16755912301976073,0.16738608536528124,0.14069185792379643,0.19538967952820135
In-hospital death,0.1768988092889634,0.17978946023585113,0.15216084315544803,0.20915098691338463
In-hospital death,0.18623849555816613,0.19245728222309036,0.1634053842021179,0.2235173836440067
