feature,repeat,importance,fold,model
adl_patient_reported,1,0.026937011159690327,5,Multinomial logistic regression
adl_patient_reported,2,0.034180575428284454,5,Multinomial logistic regression
adl_surrogate_reported,1,0.002491127375624791,5,Multinomial logistic regression
adl_surrogate_reported,2,0.0020810463424913994,5,Multinomial logistic regression
sex,1,-7.136992741507697e-05,5,Multinomial logistic regression
sex,2,-0.0002061171478287549,5,Multinomial logistic regression
race,1,-0.00013270915492297197,5,Multinomial logistic regression
race,2,-0.00016271246707869058,5,Multinomial logistic regression
income_category,1,-0.0008303939734775612,5,Multinomial logistic regression
income_category,2,-0.0007541871359630914,5,Multinomial logistic regression
diagnosis_group,1,0.00610443030322233,5,Multinomial logistic regression
diagnosis_group,2,0.0073053228749691,5,Multinomial logistic regression
diagnosis_class,1,0.011895365414710452,5,Multinomial logistic regression
diagnosis_class,2,0.01029858017930152,5,Multinomial logistic regression
diabetes,1,0.0001508695682354566,5,Multinomial logistic regression
diabetes,2,0.0001508268955463521,5,Multinomial logistic regression
dementia,1,-0.0005643141863609369,5,Multinomial logistic regression
dementia,2,-0.0008199253879044022,5,Multinomial logistic regression
cancer_status,1,0.00015197161138430504,5,Multinomial logistic regression
cancer_status,2,0.00034126527016686836,5,Multinomial logistic regression
age,1,0.0008039581309086108,1,Histogram gradient boosting
age,2,0.0010836172434713354,1,Histogram gradient boosting
years_of_education,1,0.00033165382011501876,1,Histogram gradient boosting
years_of_education,2,0.0005714597699070234,1,Histogram gradient boosting
number_of_comorbidities,1,-3.586955729528718e-05,1,Histogram gradient boosting
number_of_comorbidities,2,0.0003730735100471172,1,Histogram gradient boosting
hospital_day_at_study_entry,1,0.007393878478716753,1,Histogram gradient boosting
hospital_day_at_study_entry,2,0.005295154369507615,1,Histogram gradient boosting
mean_arterial_pressure,1,-0.00037688672006608304,1,Histogram gradient boosting
mean_arterial_pressure,2,2.110699044188813e-05,1,Histogram gradient boosting
white_blood_cell_count,1,3.2580539546162024e-05,1,Histogram gradient boosting
white_blood_cell_count,2,-0.001313369104001566,1,Histogram gradient boosting
heart_rate,1,0.0006661311946610238,1,Histogram gradient boosting
heart_rate,2,0.0003203961176603265,1,Histogram gradient boosting
respiratory_rate,1,-0.0005845022416340884,1,Histogram gradient boosting
respiratory_rate,2,0.0002220545658836448,1,Histogram gradient boosting
temperature,1,-1.6126258768178747e-05,1,Histogram gradient boosting
temperature,2,5.629218522831825e-05,1,Histogram gradient boosting
pao2_fio2_ratio,1,0.00045708917400777427,1,Histogram gradient boosting
pao2_fio2_ratio,2,-0.00011607380264425093,1,Histogram gradient boosting
